ID,Similarity Score,SMILES
CHEMBL4636830,1, CCCCCC1=CC(=O)C(C\\C=C(/C)CCC=C(C)C)=C(O)C1=O
CHEMBL4552664,1, CCCCCCCCCCCCCC(CC1=CC(=O)C=C(OC)C1=O)OC(C)=O
CHEMBL4472618,1, CCCCCCCCCCC[C@H](CC1=CC(=O)C=C(OC)C1=O)OC(C)=O
CHEMBL252556,1, COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O
CHEMBL4206043,1, CCCCCCCCC\\C(=C/C1=C(C)C(=O)C(OC)=C(OC)C1=O)C(=O)NOC
CHEMBL578390,1, CCCCCCCCC\\C(=C/C1=C(C)C(=O)C(OC)=C(OC)C1=O)C(O)=O
CHEMBL4064412,1, CC(C)=CCC\\C(=C\\CC\\C(C)=C\\CC\\C(C)=C\\CC1=CC(=O)C=C(C)C1=O)C(O)=O
CHEMBL4096012,1, COC1=CC(=O)C(OC)=C(CCCCCCCCO)C1=O
CHEMBL4077966,1, COC1=CC(=O)C(OC)=C(CCCCCCCCCCO)C1=O
CHEMBL4088278,1, COC1=CC(=O)C(OC)=C(CCCCCCCCCCCO)C1=O
CHEMBL4067007,1, COC1=CC(=O)C(OC)=C(C(O)CCCCCCCCCO)C1=O
CHEMBL4065980,1, COC1=CC(=O)C(OC)=C(C(CCCCCCCCCO)OC(C)=O)C1=O
CHEMBL3416175,1, CCCCCCCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O
CHEMBL3263323,1, CCCCCCC1=C(O)C(=O)C=C(O)C1=O
CHEMBL221598,1, CCCCCCCCC1=C(O)C(=O)C=C(O)C1=O
CHEMBL3416166,1, CCCCCCCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O
CHEMBL3416171,1, CCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O
CHEMBL2228912,1, CCCCCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O
CHEMBL3416174,1, CCCCCCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O
CHEMBL3416178,1, CCCCC1=C(OC)C(=O)C=C(OC)C1=O
CHEMBL3416179,1, CCCCCCC1=C(OC)C(=O)C=C(OC)C1=O
CHEMBL3416180,1, CCCCCCCCC1=C(OC)C(=O)C=C(OC)C1=O
CHEMBL2228913,1, CCCCCCCCCCC1=C(OC)C(=O)C=C(OC)C1=O
CHEMBL2296071,1, CCCCCCCCCCCC1=C(OC)C(=O)C=C(OC)C1=O
CHEMBL3416347,1, CCCCCCCCCCCCC1=C(OC)C(=O)C=C(OC)C1=O
CHEMBL3416348,1, CCCCCCCCCCCCCC1=C(OC)C(=O)C=C(OC)C1=O
CHEMBL3416349,1, CCCCCCCCCCCCCCC1=C(OC)C(=O)C=C(OC)C1=O
CHEMBL3416350,1, CCCCCCCCCCCCCCCC1=C(OC)C(=O)C=C(OC)C1=O
CHEMBL3416351,1, CCCCCCCCCCCCCCCCC1=C(OC)C(=O)C=C(OC)C1=O
CHEMBL3416352,1, COC1=CC(=O)C(OC)=C(C\\C=C(/C)CCC=C(C)C)C1=O
CHEMBL3416353,1, COC1=CC(=O)C(OC)=C(C\\C=C(/C)CC\\C=C(/C)CCC=C(C)C)C1=O
CHEMBL3416163,1, CCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O
CHEMBL3416164,1, CCCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O
CHEMBL462801,1, CCCCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O
CHEMBL3416165,1, CCCCCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O
CHEMBL462998,1, CCCCCCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O
CHEMBL3416172,1, CCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O
CHEMBL471270,1, CCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O
CHEMBL3416173,1, CCCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O
CHEMBL1672002,1, CC(C)C1=CC(=O)C(C)=CC1=O
CHEMBL3311531,1, OC(=O)CC1=CC(=O)C=CC1=O
CHEMBL1223852,1, CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@@](C)(O)CCC1=C(C)C(=O)C(C)=C(C)C1=O
CHEMBL3109718,1, CCCCCCC1=CC(=O)C(O)=CC1=O
CHEMBL463021,1, COC1=CC(=O)C(O)=C(CCCCCCC\\C=C/C\\C=C/CC=C)C1=O
CHEMBL2269077,1, CCC\\C=C/C\\C=C/CCCCCCCC1=C(O)C(=O)C=C(OC)C1=O
CHEMBL2269076,1, CCCCCC\\C=C/CCCCCCCC1=C(O)C(=O)C=C(OC)C1=O
CHEMBL2269075,1, CCCCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O
CHEMBL2272028,1, CCCCCCCCCCC(=O)N(C)CC1=C(C)C(=O)C(OC)=C(OC)C1=O
CHEMBL1446929,1, CCC(=O)NC1=C(Cl)C(=O)C(NC(=O)CC)=C(Cl)C1=O
CHEMBL1373950,1, ClC1=CC(=O)C=CC1=O
CHEMBL561154,1, CCC1=C(OC)C(=O)C(CCCCCCCCCCC(C)=O)=C(C)C1=O
CHEMBL192627,1, ClC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O
CHEMBL8320,1, O=C1C=CC(=O)C=C1
CHEMBL221137,1, CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O
